class,aa_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,26,50,,0,0,0,0,0,0,506,7508,1258,0,0,0,3596,0,0,0,82,438,7242,4792,15648,1036,0,0,0,0,20,34,0,0,0,0,0,0,0,0,9272,0,946,18,28,22,24,8234,0,0,0,0,6686,1584,264,292,38,36,64,274,24,10,23006,0,0,0,0,3596,256,12866,2766,,,,15500,26.35,23006,23006,24234,23,694,2190,22860,9272,1209600,0,,,,4058.88,1011.84,3276.48,,,0,0,442,5432,2472,830,96,0,0,0,,10,23006,928,18,34,522,536,2484,3986,764,0,0,,,,,,,,,,62,32,0,0,0,1024,0,0,0,0,192,0,0,0,0,248,56,10620,1110,0,0,0,0,0,,,5518,2986,556,104,74,12,16,6,0,0,0,0
neg,42422,2130706498,522,0,0,0,0,0,0,139056,2061446,686298,50012,62,0,227570,0,0,0,0,0,2486730,2182568,602262,232006,0,0,0,0,692,1952,0,0,0,0,0,0,0,54430,2882444,0,3586,2508,3554,4240,4336,346190,2572460,0,0,0,1138442,742168,405470,321392,104164,62868,46100,44690,38258,33322,3090266,4724,4170,5838,4,227570,35324,188880,411646,220120,243400,,127620,42422.17,3090266,3090266,3050030,12318,0,61574,655800,2947026,1209600,105984,2,130,0,2370455.04,7814.4,564246.72,24,522,0,0,42332,1237052,1432802,196882,20662,6042,1102,0,0,46,3090266,7780,1062,404932,230954,142280,1965096,179452,5298,20,0,514,2562,2395824,1287114,0,3642,0,0,2396210,4620,1368,0,0,10,7828,0,0,0,0,40440,1788,328,0,0,91616,12916,8658640,865612,0,0,0,2,2422190,25.5,2408,599548,526178,186946,73864,155458,734892,419406,240302,280,0,0,4
neg,29558,278,222,0,0,0,0,0,0,236,166700,1514022,379466,37886,6516,991864,0,0,0,0,0,1753898,1380194,482576,329042,0,0,304,0,1180,144,0,0,0,0,0,63078,913854,1091558,36336,0,1382,728,956,144006,1443200,514486,68,0,0,0,775066,406722,195308,132792,102512,94934,129306,267038,1148,0,2236812,42,320,274,4,991864,31718,185748,288792,261620,,,215780,29558.19,2236812,2236812,2227912,15747,21990,99288,1022600,2104826,1209600,57262,0,88,0,1821462.72,0.0,281961.6,0,0,0,0,0,13264,621862,1071048,367626,26828,3994,204,710,728,2236812,2926,382,22622,124940,74736,1259736,606284,12764,436,0,334,338,948516,85118,36,3262,0,0,1841024,1468,148,0,0,0,0,0,0,0,0,18296,21446,3310,0,0,47300,8806,2649340,512484,0,0,0,0,416440,726.08,826,293120,509022,283700,124304,277668,309916,147984,63862,88130,7120,0,0
neg,58344,514,470,0,0,0,0,0,0,738,178836,2806316,911874,31176,704,1550280,0,0,0,0,0,3504002,2960820,663154,427136,0,0,0,0,1644,462,0,0,0,0,0,53012,1814094,1976732,85806,0,3022,1304,2400,28738,2819330,1074802,48,0,0,0,1326626,1016134,455120,348600,276158,201506,190842,114658,0,0,4168288,22,22,228,18,1550280,43684,336036,323558,201400,204680,160320,85600,58343.25,4168288,4168288,4162038,23632,1934,45756,524620,3929644,1209600,131358,2,68,0,3595525.44,5.76,330573.12,0,0,0,0,0,4466,1092604,2032474,746414,42672,10096,918,38,42,4168288,6944,1166,106120,160742,168014,2863574,598252,24558,274,0,728,1100,3603686,39026,0,4124,0,24,3622142,3976,244,0,0,0,6,0,0,0,0,29728,44504,16876,0,0,88330,18646,16623420,1673218,0,0,0,0,18702200,2153.26,2234,353306,813848,740214,399118,756706,437224,213250,96950,116256,2772,0,0
neg,29986,2130706454,672,0,0,0,0,0,0,224,208118,1686776,2245586,531226,21524,1968898,0,0,0,0,0,4030992,3393946,823104,557670,0,0,10638,0,1602,122,0,0,0,0,0,0,54232,4637780,1442,0,4938,1240,1380,1906,18070,4657364,8556,0,0,0,2969462,769922,239246,149384,104008,158270,302886,276,0,0,4855012,0,148,196,12,1968898,62488,187720,631928,282060,197940,131780,520,29986.28,4855012,4855012,4865988,18918,73234,115606,6640,4693454,1209600,213924,4,224,0,2770147.2,449114.88,1463061.12,0,1296,0,0,0,15224,322620,1111924,2290040,893400,58540,1706,740,756,4855012,9458,1184,401222,1054626,248158,1472574,1432466,73298,466,2,1014,290,2002850,41608,0,12052,0,50,2863266,7338,1234,0,0,13430,449594,0,0,0,0,34138,11974,5086,0,0,108038,21842,18006800,2879984,0,0,0,0,0,2445.26,2198,1974438,1701658,203346,81992,165268,153960,104632,84312,208422,15426,0,0
neg,8,10,10,0,0,0,0,0,0,6,0,3158,0,0,0,1286,0,0,0,0,0,3484,2254,3954,552,0,0,0,0,0,14,0,0,0,0,0,0,3164,0,0,0,20,8,6,8,404,2718,0,0,0,0,2620,324,126,44,14,12,16,8,0,0,7442,0,10,6,0,1286,72,2460,1490,,,,3920,8.22,7442,7442,14174,5,0,698,7400,3164,1209600,248,0,2,0,1365.12,0,1776.0,0,0,0,0,0,0,2346,582,222,14,0,0,0,6,7442,30,2,12,14,442,1416,1126,122,0,0,16,84,1660,64,0,2,0,66,1720,30,40,0,0,0,0,0,0,0,0,46,0,2,0,0,28,8,160,34,0,0,0,0,0,14.8,16,1940,1018,182,6,16,2,0,0,0,0,0,0
neg,39116,236,224,0,0,0,0,0,0,1576,118612,1794936,492136,23712,208,1054494,2764,0,0,0,0,2171708,1898088,428686,230344,0,0,0,0,266,94,0,0,0,0,0,57432,1099750,1222814,51184,0,2640,1336,3014,83628,1890182,450378,2,0,0,0,821034,637894,271252,174212,125584,94814,138712,167678,0,0,2600940,242,208,390,4,1054494,27334,244686,181772,156300,229080,,38160,39116.8,2600940,2600940,2600642,15286,1766,14994,175820,2431180,1209600,64670,2,28,0,2148422.4,0,279672,0,0,0,0,0,2914,566714,1517262,323888,16474,3716,212,6,12,2600940,3996,404,25688,152906,103724,1678288,458818,7340,16,0,290,226,2135154,154862,0,4270,0,48,2163740,1408,188,0,0,0,0,0,0,0,0,15910,20348,3518,0,0,70276,11484,30640,9098,0,0,0,0,425360,744.38,934,293560,386936,306494,147410,359734,363296,242256,137230,186884,7380,0,0
neg,12,30,28,8,16,0,0,0,0,4512,1868,2186,0,0,0,2820,0,0,0,780,1852,11686,7990,13166,1250,0,0,0,0,30,30,0,0,0,0,0,0,0,2618,5948,0,68,8,10,330,682,822,6646,0,0,0,7064,398,264,148,124,378,176,10,4,0,25652,4,24,2,0,2820,238,9502,3418,,,,12940,12.93,25652,25652,26626,38,730,2386,25320,8642,1209600,328,2,6,0,2183.04,236.16,5161.92,4,22,0,0,3626,2056,1414,1270,200,0,0,0,4,4,25652,1048,6,20,16,690,6128,658,0,0,0,44,30,1528,190,0,0,0,0,2642,56,112,0,0,0,0,0,0,0,0,334,0,0,226,50,22,12,13100,4308,25060,8,0,0,0,0.96,50,6622,1634,100,14,40,38,70,48,0,0,0,0
neg,1002,2130706432,0,0,0,0,0,0,0,0,0,0,0,0,0,24030,0,336,0,7422,11374,78066,71482,42888,5894,0,0,0,0,62,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128442,12,0,6,0,24030,860,28352,14280,,,,42260,1001.92,128442,128442,288,0,48,12258,127760,73556,1209600,2006,0,0,0,52526.4,0.0,19911.36,0,0,0,0,0,0,0,0,0,0,0,0,0,14,128442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,140,0,0,0,0,0,0,0,0,930,112,44,0,0,1142,248,221440,22416,0,0,0,0,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neg,35156,2130706432,150,0,0,0,0,0,0,8260,833950,1096564,219666,12722,2066,998294,0,0,0,0,0,1984244,1772084,684646,173874,0,0,2256,0,94,158,0,0,0,0,0,10918,97610,753184,1311516,0,5362,12094,29790,80696,289432,1518218,237636,0,0,0,748976,663238,286900,169234,105258,60428,47290,46966,22262,22676,2669124,486,1872,10562,10,998294,23160,495604,186930,261920,346980,,72280,35156.75,2669124,2669124,2651576,12978,5022,22462,246440,2174212,1209600,52224,8,24,0,1733467.2,0.0,438226.56,360,776,0,0,0,60990,650196,967022,420908,65804,8250,58,238,248,2669124,2524,218,25498,326016,170650,1618614,29676,32,0,0,92,274,1742888,1053096,0,11870,0,0,1750458,1870,142,0,0,0,0,0,0,0,0,11324,1074,1318,1341918,185414,5534,18992,4312300,448936,2517310,1230,0,0,0,992.52,808,447976,193470,164576,85102,195996,99366,485790,497200,3752,0,0,0
